	B cells	Dendritic	Endothelial	Fibroblast	Mast cells	Mesothelial	Neutrophils	Pericyte	SmoothMuscle	T cells
CDC20	0.062208011593914786	0.0	0.09270260093206573	0.08109070974775999	0.03543131818117922	0.24636254382006229	0.03385840851619624	0.14733560421068453	0.20342439749623942	0.1597969753867428
ERI3	1.0575433664204765	0.7968887489867328	1.2341306027199668	1.9619811639761489	0.5685476492833824	3.435896708122223	0.6249810968388803	1.4544631049120003	1.4020575867261367	1.146520395456439
BCAR3	3.5475721152877906	4.878150431188274	2.9465005857530753	1.4756060045400117	0.9961232567458485	3.6376932299496527	3.6320418715519445	1.9180544407544509	1.7291680164431926	1.271354904285212
AL160171.1	0.10159765062597048	0.22696343043990488	0.017954811423854734	0.044472710135349855	0.0	0.012743862250720186	0.023668975547948744	0.03860777364862398	0.031582778200112585	0.1288199114545397
CD1E	0.006058273366928358	0.0	0.0020496471441422155	0.0007347981627369293	0.0	0.001722845767703065	0.6253063065698188	0.0	0.0014850162818062882	0.7074331788765355
FCER1A	0.006878596241207257	1.021716813293177	0.006373145810799507	0.007732456921800249	2.8250154630372992	0.007317815651332568	1.4394158207660348	0.0	0.0030395991878733233	0.9471102496862059
ASTN1	0.010765456929951343	0.031142788255314025	0.019371353580034476	0.29852149777523074	0.09712215180731805	0.7252447489948709	0.03943697501462776	0.053168998711612424	0.07455281077888357	0.04056814938301731
CAPN2	2.0554716126939545	0.8728954913897792	4.672331572790606	4.732352120001665	3.1140742851305405	7.056501657702924	5.358511024349358	4.455886963659823	3.914403632491252	3.583743366426163
ASAP2	0.3300920105427384	1.4072710730098381	2.6298747926154427	2.536254249958769	0.7835278427694696	2.9348304824251796	1.426015125076767	3.2144917270819273	2.90168225876212	0.6829196748130033
ANAPC1	1.4805686462520102	1.5249077060432288	1.0262501755677442	0.5458095442111756	0.6297938679520058	0.9845849851558335	0.325414894819484	0.7803025740754552	0.6483325312017428	1.0523481414759432
MYOSLID	0.16470761657819297	0.12094734131190013	0.33988572011292534	0.14123060624306716	0.14437546821988098	0.21811474137706308	0.28939382400971814	0.13535292340890384	0.1296993983010268	0.3871783090383268
CHL1	1.1117324484838074	0.10817831721650854	0.0366251977987702	1.2416688037103893	0.1509823565439432	0.3832200420151162	0.08100124970051663	0.0604636259241094	0.029194025649482532	0.13133951159755947
COL7A1	0.040144619488240364	0.059844456653893194	0.028555211190118564	0.14395046064153763	0.0335379094996138	0.040925160100839915	0.2048151300345098	0.2256587312834398	0.16243238241358615	0.14329517887124577
WNT5A	0.03584807211298648	0.08170175064239137	0.03681262495804081	1.156231785074078	0.09012265235095558	1.4124239582304887	0.4721570713939813	0.0946087323496815	0.026309085134545142	0.13517899909702333
LRIG1	0.4247102381706196	0.5014077526069141	1.1677047202988542	1.540459002645211	1.0253984609326978	0.6717709390131985	0.7407387980363909	1.3947942059843665	1.4577242626451639	2.170734681057988
CPA3	0.010326781093729583	0.06110201599656124	0.02305771660272471	0.030720484680688248	8.690639582246174	0.05479253699620207	0.048270059612665686	0.027121677989046668	0.009304816434008167	0.028484358237427853
EIF4G1	3.6452671758803525	4.869678392200231	4.319182663415596	3.3383573902836656	2.561974986814893	4.057083037841324	3.519257276884643	3.4914600094968913	3.915294135922112	3.847322959487837
MELTF	0.10279140856157049	2.929072679849664	0.07276382524940897	1.0806169701827268	0.36650235319884966	1.0889086396114611	0.8335940685253828	0.1328348949140016	0.0732995417595539	0.5218217229901689
DKK2	0.12050133864304131	0.11410905826253724	0.062395674306035764	0.490992297980487	0.071844059694775	0.12352835250131636	0.20014672702856123	0.09768344444815269	0.04885853861364303	0.17437110753456447
NEIL3	0.010264477198735735	0.058234857580367665	0.005614144448408893	0.007405044974406575	0.01776936897153032	0.03203331180289497	0.09084886651438395	0.00936093864959922	0.007869757434142	0.13211181060054114
AC008875.3	0.5457585720254627	0.3678626799528848	2.241174251014641	0.15343412458771685	0.9504545808173537	0.11506820721009807	0.38811978116337276	1.1942889817848872	1.405669873481078	1.0217151528349653
LHFPL2	1.1583054929433105	5.2569459474395135	5.176815976708662	3.7829823733929975	1.323651625528101	3.9250434888641017	5.408749741778836	2.780278256483201	1.0374908416986568	1.8409457077553906
LVRN	0.039426330189072496	0.0617716764207411	0.04086771684984247	0.1432317400686619	0.1876571075684426	0.17821400596113735	0.030104267562498524	0.02590298064501452	0.012553740207795885	0.03228981139573449
SLC22A5	0.3269944201811832	0.11020333558118336	0.2957377203969906	0.49577997129488316	0.33861113529437714	2.195210744817769	0.18504524401067618	0.2956350618063232	0.2820279223783998	0.3781875122160258
PCDHGA1	0.05178199966696021	0.0	0.011670962632780744	0.02586271136342448	0.0	0.017683675039168577	0.0039226359471963715	0.033744661506733324	0.09187428150215049	0.012792960087020532
AC008453.1	0.0	0.0	0.0065783893076132105	0.0019088149226965463	0.0	0.0	0.0	0.0	0.0032740292866860867	0.0017174674576809655
PPP1R18	1.9998476654257276	2.413721284149191	2.970830556735858	1.5925622065421208	1.626018811084944	1.1467324226384825	4.6407102758693695	2.785104634516543	3.1469236835699954	2.836007717678861
B3GALT4	0.6165016979176946	0.5746102638074052	0.23287907332084207	0.41109437286812234	0.2612354438091523	0.3758836484960687	0.4076543001520839	0.22427915121018166	0.18859635851726336	0.5494009350758804
CLIC5	0.23096795171163062	0.16757661884135222	0.838894109530012	0.4520797601037961	0.423967951320162	4.156038044205261	0.1681771356032357	0.49145976103656613	0.125362311903425	0.8958537779146523
LRRN3	0.23586049803372378	0.3156419018874448	0.07184831873638714	0.47429156045220305	0.0744520943264343	0.260562537232947	0.0577159870837246	0.653275259678027	0.14198624818763564	0.6927940098256341
COL14A1	0.3241930714486302	0.2665251940249615	0.2369050328901969	5.883224553481316	0.539611316577369	0.7683797530547546	0.3036626336102275	5.774146634460417	4.352685795147116	0.376348730770953
PLEC	1.8253088664884445	2.034296014852501	3.2545766684466155	2.3955035229312576	1.291493757105583	3.422322170801125	3.4394886545351953	3.4311717370588704	3.215743089787228	3.5438527387826997
AL353746.1	0.0	0.0	0.00030027162052413415	0.0	0.0	0.001980752793894969	0.0	0.0	0.0	0.003312942718480102
AL353751.1	0.0	0.0	0.005177009221555299	0.001048899259708708	0.0	0.0	0.0	0.0	0.0	0.0
CPXM2	0.2726908714690392	0.19855505217510855	4.130717224704463	2.583155830358579	0.6269159674917811	0.33609506929914584	0.44925971254150343	0.6584431142644226	0.29594636307408906	0.30678954260879504
CALY	0.0	0.0	0.003502057042028485	0.014440382322098913	0.0	0.0194268818816859	0.0018477332485222664	0.005491405879089299	0.06663623247760252	0.05638688628030343
DSCAML1	0.10443749671737121	0.15019027929152087	0.09739771407878123	0.6981398407376127	0.09829159628139622	1.249470358224321	0.20286062403714056	0.24079305190824865	0.1944223603674162	0.13569873169680163
IGF1	0.35890213802709875	0.3711316842901157	0.23400942287505316	6.44312363809142	0.6115353673536369	1.4902413536755892	0.630510434029515	0.2593953869026321	0.12369579587395008	0.2759565821184284
MYBL2	0.4562096353830529	3.9975054641318515	0.03312409266105014	0.0376917073000779	0.0	0.04876209788114551	0.06454328888113929	0.030141236552677534	0.03282498643382941	0.18083462098514563
UBE2C	0.04101112013093535	0.0	0.018775347295145663	0.03713334453848469	0.061337071699050484	0.09422109010161875	0.080370457797233	0.12864071344116781	0.21452073890685966	0.1622137933056655
